Image,Segmentation,Transcription,Threshold
a01-026-02.png,err,secret negotiations on Northern Rhodesia's future.,182
a01-026-03.png,ok,The Northern Rhodesia conference in London has,182
a01-026-04.png,ok,been boycotted by the two main settlers' parties -,182
a01-026-05.png,ok,the United Federal Party and the Dominion Party.,182
a01-026-06.png,ok,"But representatives of Sir Roy Welensky, Prime",182
a01-026-07.png,err,"Minister of the Central African Federation, went",182
a01-026-08.png,ok,to Chequers at the week-end for talks with,182
a01-026-09.png,ok,Mr. Macmillan.,182
a01-026u-00.png,ok,"MR. IAIN MACLEOD, the Colonial Secretary,",168
a01-026u-01.png,ok,denied in the Commons last night that,169
a01-026u-02.png,ok,there have been secret negotiations on,170
a01-026u-03.png,ok,Northern Rhodesia's future. The Northern,170
a01-026u-04.png,ok,Rhodesia conference in London has been,171
a01-026u-05.png,ok,boycotted by the two main settlers' parties -,169
a01-026u-06.png,ok,the United Federal Party and the Dominion,168
a01-026u-07.png,ok,Party. But representatives of Sir Roy,171
a01-026u-08.png,ok,"Welensky, Prime Minister of the Central",168
a01-026u-09.png,ok,"African Federation, went to Chequers at",170
a01-026u-10.png,ok,the week-end for talks with Mr. Macmillan.,169
a01-026x-00.png,ok,"Mr. Iain Macleod, the Colonial Secretary, denied",192
a01-026x-01.png,ok,in the Commons last night that there have,194
a01-026x-02.png,ok,been secret negotiations on the Northern Rhodesia's,193
a01-026x-03.png,ok,future. The Northern Rhodesia conference in,187
a01-026x-04.png,err,London has been boycotted by the two main,184
a01-026x-05.png,err,settlers' parties - the United Federal Party,191
a01-026x-06.png,ok,and the Dominion Party. But representatives,191
a01-026x-07.png,ok,"of Sir Roy Welensky, Prime Minister of the",186
a01-026x-08.png,ok,"Central African Federation, went to Chequers",182
a01-026x-09.png,ok,at the week-end for talks with Mr. Macmillan.,185
a01-030-00.png,ok,Northern Rhodesia is a member of the Federation.,176
a01-030-01.png,err,Mr. Macleod was not at the week-end meeting. But he told,176
a01-030-02.png,ok,"M Ps yesterday: ""I have no knowledge of secret negotiations.""",176
a01-030-03.png,ok,He said Britain had an obligation to consult the Federal,176
a01-030-04.png,ok,Government. But the final decision remained with the British,176
a01-030-05.png,err,"Government. Mr. James Callaghan, Labour's Colonial spokesman,",176
a01-030-06.png,ok,said Sir Roy had no right to delay progress in the talks by,182
a01-030-07.png,ok,refusing to sit round the conference table.,182
a01-030u-00.png,ok,Northern Rhodesia is a member of the Federation.,169
a01-030u-01.png,ok,Mr. Macleod was not at the week-end,169
a01-030u-02.png,err,"meeting. But he told M Ps yesterday: ""I",170
a01-030u-03.png,ok,"have no knowledge of secret negotiations.""",170
a01-030u-04.png,ok,He said Britain had an obligation to consult,169
a01-030u-05.png,ok,the Federal Government. But the final,170
a01-030u-06.png,ok,decision remained with the British Government.,169
a01-030u-07.png,ok,"Mr. James Callaghan, Labour's Colonial",172
a01-030u-08.png,ok,"spokesman, said Sir Roy had no right to",169
a01-030u-09.png,ok,delay progress in the talks by refusing,170
a01-030u-10.png,ok,to sit round the conference table.,170
a01-030x-00.png,ok,Northern Rhodesia is a member of the Fede-,153
a01-030x-01.png,ok,ration. Mr. Macleod was not at the week-end,158
a01-030x-02.png,ok,"meeting. But he told M Ps yesterday: ""I",158
a01-030x-03.png,ok,"have no knowledge of secret negotiations."" He",151
a01-030x-04.png,ok,said Britain had an obligation to consult,148
a01-030x-05.png,err,"the Federal Government. Mr. James Callaghan,",155
a01-030x-06.png,ok,"Labour's Colonial spokesman, said Sir Roy had",158
a01-030x-07.png,ok,no right to delay progress in the talks by,155
a01-030x-08.png,ok,refusing to sit round the conference table.,153
a01-038-00.png,ok,Mr. Macleod thought the two Rhodesian,182
a01-038-01.png,ok,parties had refused to attend the talks,182
a01-038-02.png,ok,because Sir Roy had found messages,182
a01-038-03.png,ok,"sent from the Government were ""unsatisfac-",182
a01-038-04.png,err,"tory."" African delegates to the talks yester-",182
a01-038-05.png,ok,day called on Mr. Macmillan to cease his,182
a01-038-06.png,ok,"negotiations with Sir Roy's representative,",182
a01-038-07.png,ok,Mr. Julius Greenfield. He was at Che-,182
a01-038-08.png,ok,quers last week-end. They said they,182
a01-038-09.png,ok,"regarded with ""growing anger"" the ""gross",182
a01-038-10.png,ok,"and unconstitutional"" interference by",182
a01-038-11.png,ok,Sir Roy's Federal Government in the,191
a01-038-12.png,ok,talks.,182
a01-038x-00.png,ok,Mr. Macleod thought the two Rhodesian parties,185
a01-038x-01.png,ok,had refused to attend the talks because Sir Roy,186
a01-038x-02.png,ok,had found messages sent from the Government were,185
a01-038x-03.png,err,"""unsatisfactory."" African delegates to the talks yesterday",180
a01-038x-04.png,ok,called on Mr. Macmillan to cease his negotiations with,175
a01-038x-05.png,err,"Sir Roy's representative, Mr. Julius Greenfield. He was",182
a01-038x-06.png,err,at Chequers last week-end. They said they regarded,186
a01-038x-07.png,err,"with ""growing anger"" the gross and unconstitutional""",180
a01-038x-08.png,ok,interference by Sir Roy's Federal Government in the talks.,176
a01-043-00.png,ok,Informal talks at Lancaster House will,176
a01-043-01.png,ok,resume today. President Kennedy today,176
a01-043-02.png,ok,defended the appointment of a Negro as,176
a01-043-03.png,ok,his Housing Minister. It has aroused,176
a01-043-04.png,ok,strong opposition from the anti-Negro,176
a01-043-05.png,err,senators of the Deep South. The negro,176
a01-043-06.png,err,is Mr. Robert Weaver of New York. One,176
a01-043-07.png,ok,of his tasks will be to see there is no,176
a01-043-08.png,ok,racial discrimination in Government,176
a01-043-09.png,ok,and State housing projects.,176
a01-043-10.png,err,B.Kaufmann,176
a01-043u-00.png,ok,Informal talks at Lancaster House will,169
a01-043u-01.png,ok,resume today. PRESIDENT KENNEDY today,168
a01-043u-02.png,ok,defended the appointment of a Negro as,170
a01-043u-03.png,ok,his Housing Minister. It has aroused strong,171
a01-043u-04.png,ok,opposition from the anti-Negro senators of the,168
a01-043u-05.png,ok,Deep South. The negro is Mr. Robert #,169
a01-043u-06.png,ok,Weaver of New York. One of his tasks will,169
a01-043u-07.png,ok,be to see there is no racial discrimination,170
a01-043u-08.png,ok,in Government and State housing,169
a01-043u-09.png,ok,projects.,166
a01-043x-00.png,ok,Informal talks at Lancaster House will resume,181
a01-043x-01.png,ok,today. PRESIDENT KENNEDY today defended,177
a01-043x-02.png,ok,the appointment of a Negro as his Housing Minister.,178
a01-043x-03.png,ok,It has aroused strong opposition from the anti-Negro,171
a01-043x-04.png,ok,senators of the Deep South. The negro is Mr.,168
a01-043x-05.png,ok,Robert Weaver of New York. One of his tasks,170
a01-043x-06.png,ok,will be to see there is no racial discrimination,175
a01-043x-07.png,ok,in Government and State housing projects.,171
a01-049-00.png,ok,Senator Allen Ellender of Louisiana sparked,176
a01-049-01.png,ok,off the opposition by telling a television,176
a01-049-02.png,ok,"audience it was ""current Washington gossip""",176
a01-049-03.png,ok,that Weaver once had Communist affiliations.,176
a01-049-04.png,ok,"The Senate Banking Committee, which is headed",176
a01-049-05.png,ok,"by another Southern Senator - Willis Robertson,",176
a01-049-06.png,ok,of Virginia - met today in closed session,176
a01-049-07.png,err,to discuss Weaver's appointment. Senator,176
a01-049-08.png,ok,Robertson later disclosed he had sent a letter,176
a01-049-09.png,ok,to Mr. Kennedy saying he had received several,176
a01-049-10.png,err,complaints about Weaver's loyalty.,176
a01-049u-00.png,ok,"Senator Allen Ellender, of Louisiana,",171
a01-049u-01.png,ok,sparked off the opposition by telling a,168
a01-049u-02.png,ok,"television audience it was ""current",170
a01-049u-03.png,ok,"Washington gossip"" that Weaver once had",170
a01-049u-04.png,ok,Communist affiliations. The Senate Banking,170
a01-049u-05.png,ok,"Committee, which is headed by another",170
a01-049u-06.png,ok,"Southern Senator - Willis Robertson, of",171
a01-049u-07.png,ok,Virginia - met today in closed session to,170
a01-049u-08.png,err,discuss Weaver's appointment. Senator,169
a01-049u-09.png,ok,Robertson later disclosed he had sent a letter,169
a01-049u-10.png,ok,to Mr. Kennedy saying he had received,169
a01-049x-00.png,err,"Senator Allen Ellender, of Louisiana,",172
a01-049x-01.png,ok,sparked off the opposition by telling a,170
a01-049x-02.png,ok,"television audience it was ""current Washington",171
a01-049x-03.png,ok,"gossip"" that Weaver once had Communist affilia-",171
a01-049x-04.png,ok,"tions. The Senate Banking Committee, which",163
a01-049x-05.png,ok,is headed by another Southern Senator -,165
a01-049x-06.png,ok,"Willis Robertson, of Virginia - met today in",171
a01-049x-07.png,err,closed session to discuss Weaver's appointment.,168
a01-049x-08.png,ok,Senator Robertson later disclosed he had sent a,162
a01-049x-09.png,ok,letter to Mr. Kennedy saying he had received several,164
a01-049x-10.png,ok,complaints about Weaver's loyalty.,171
a01-053-00.png,err,He said these concerned Mr. Weaver's,152
a01-053-01.png,ok,alleged association with organisations black-,152
a01-053-02.png,ok,listed by the Government. Immediately,152
a01-053-03.png,ok,Mr. Kennedy rushed a letter to Senator,152
a01-053-04.png,err,Robertson saying the Federal Bureau of In-,152
a01-053-05.png,err,vestigation had reported on Mr. Weaver.,152
a01-053-06.png,ok,"He believed he would perform ""outstanding",152
a01-053-07.png,ok,"service"" in his post. Senator Robertson's",152
a01-053-08.png,err,committee has to pass Mr. Weaver's,152
a01-053-09.png,ok,nomination before it can be con-,152
a01-053-10.png,ok,# sidered by the full Senate.,152
a01-053u-00.png,ok,He said these concerned Mr. Weaver's,171
a01-053u-01.png,ok,alleged association with organisations black-,170
a01-053u-02.png,ok,listed by the Government. Immediately Mr.,170
a01-053u-03.png,ok,Kennedy rushed a letter to Senator Robertson,170
a01-053u-04.png,ok,saying the Federal Bureau of Investigation had,167
a01-053u-05.png,ok,reported on Mr. Weaver. He believed,169
a01-053u-06.png,ok,"he would perform ""outstanding service""",168
a01-053u-07.png,ok,in his post. Senator Robertson's committee,169
a01-053u-08.png,ok,has to pass Mr. Weaver's nomination before it,168
a01-053u-09.png,ok,can be considered by the full Senate.,169
a01-053x-00.png,err,He said these concerned Mr. Weaver's alleged,171
a01-053x-01.png,err,association with organisations black-listed by the,175
a01-053x-02.png,ok,Government. Immediately Mr. Kennedy rushed a letter,171
a01-053x-03.png,ok,to Senator Robertson saying the Federal Bureau,169
a01-053x-04.png,ok,of Investigation had reported on Mr. Weaver.,164
a01-053x-05.png,ok,"He believed he would perform ""outstanding",174
a01-053x-06.png,ok,"service"" in his post. Senator Robertson's",176
a01-053x-07.png,ok,committee has to pass Mr. Weaver's,165
a01-053x-08.png,ok,nomination before it can be considered by the,168
a01-053x-09.png,ok,full Senate.,174
a01-058-00.png,ok,PRESIDENT KENNEDY is ready to get tough,152
a01-058-01.png,ok,over West Germany's cash offer to help,152
a01-058-02.png,err,America's balance of payments position.,152
a01-058-03.png,ok,He said bluntly in Washington yester-,152
a01-058-04.png,ok,day that the offer - 357million - was,152
a01-058-05.png,err,not good enough. And he indicated,152
a01-058-06.png,err,that his Government would try to get,152
a01-058-07.png,ok,Germany to pay more. He did not,152
a01-058-08.png,ok,mention personal talks with Dr.,152
a01-058-09.png,ok,"Adenauer, the West German Chancellor.",152
a01-058u-00.png,ok,PRESIDENT KENNEDY is ready to get tough,166
a01-058u-01.png,ok,over West Germany's cash offer to help,167
a01-058u-02.png,ok,America's balance of payments position. He,167
a01-058u-03.png,ok,said bluntly in Washington yesterday that,169
a01-058u-04.png,ok,the offer - 357million - was not good enough.,167
a01-058u-05.png,ok,And he indicated that his Government,166
a01-058u-06.png,ok,would try to get Germany to pay more. He,167
a01-058u-07.png,ok,did not mention personal talks with Dr.,169
a01-058u-08.png,ok,"Adenauer, the West German Chancellor.",169
a01-058x-00.png,ok,PRESIDENT KENNEDY is ready to get,174
a01-058x-01.png,ok,tough over West Germany's cash offer to,176
a01-058x-02.png,ok,help America's balance of payments position,174
a01-058x-03.png,ok,He said bluntly in Washington yesterday,174
a01-058x-04.png,ok,that the offer - 357million - was not good,173
a01-058x-05.png,ok,enough. And he indicated that his,164
a01-058x-06.png,ok,Government would try to get Germany to,177
a01-058x-07.png,ok,pay more. He did not mention personal,177
a01-058x-08.png,ok,"talks with Dr. Adenauer, the West",170
a01-058x-09.png,ok,German Chancellor.,167
a01-063-00.png,ok,"But he said discussions ""on a higher",152
a01-063-01.png,err,"level than in the past"" might be",152
a01-063-02.png,ok,useful. The President will probably,152
a01-063-03.png,ok,"discuss the problem with Dr. Brentano,",152
a01-063-04.png,ok,"the West German Foreign Minister, who is",152
a01-063-05.png,ok,due in Washington next week. A big,152
a01-063-06.png,err,"slice of Germany's ""aid"" # is the early",152
a01-063-07.png,ok,payment of a 210million debt to America.,152
a01-063-08.png,ok,United States officials quickly point out,152
a01-063-09.png,ok,that this is money due to America,152
a01-063-10.png,ok,anyway.,152
a01-063u-00.png,err,"But he said discussions ""on a higher",169
a01-063u-01.png,ok,"level than in the past"" might be useful.",171
a01-063u-02.png,ok,The President will probably discuss the,170
a01-063u-03.png,ok,"problem with Dr. Brentano, the West German",169
a01-063u-04.png,ok,"Foreign Minister, who is due in Washington",168
a01-063u-05.png,ok,"next week. A big slice of Germany's ""aid""",169
a01-063u-06.png,ok,is the early payment of a 210million,169
a01-063u-07.png,ok,debt to America. United States officials,168
a01-063u-08.png,ok,quickly point out that this is money due,167
a01-063u-09.png,ok,to America anyway.,169
a01-063x-00.png,ok,"But he said discussions ""on a higher",188
a01-063x-01.png,ok,"level than in the past"" might be useful.",187
a01-063x-02.png,err,The President will probably discuss the,187
a01-063x-03.png,err,"problem with Dr. Brentano, the West",181
a01-063x-04.png,ok,"German Foreign Minister, who is due in",180
a01-063x-05.png,ok,Washington next week. A big slice of,185
a01-063x-06.png,ok,"Germany's ""aid"" is the early payment",186
a01-063x-07.png,ok,of a 210million debt to America. United,181
a01-063x-08.png,err,States officials quickly point out that,178
a01-063x-09.png,err,this is money due to America anyway.,183
a01-068u-00.png,ok,And they are unimpressed by the Germans' claim,168
a01-068u-01.png,ok,that they cannot pay more than 357million,169
a01-068u-02.png,ok,without upsetting their own economy. The,170
a01-068u-03.png,ok,Americans say Germany is having it too,170
a01-068u-04.png,ok,good and is not paying for the past,166
a01-068u-05.png,ok,or for the present. The Adenauer Government,168
a01-068u-06.png,ok,flatly rejected attempts by the Eisenhower,168
a01-068u-07.png,ok,Government to get them to pay a regular,169
a01-068u-08.png,ok,sum towards the cost of keeping American,167
a01-068u-09.png,ok,troops in Germany.,167
a01-072u-00.png,ok,These support costs are a big drain on,169
a01-072u-01.png,ok,America's dollar reserves. Dr. Adenauer's,170
a01-072u-02.png,ok,answer is the once-and-for-all cash,170
a01-072u-03.png,ok,offer of 357 million. President Kennedy's,170
a01-072u-04.png,ok,rejection of it is a painful blow to the,169
a01-072u-05.png,ok,West German Government. It will now have,168
a01-072u-06.png,ok,to pay more - and increase taxation to do,168
a01-072u-07.png,ok,so - or run the obvious # risks in upsetting,169
a01-072u-08.png,ok,the new American administration.,169
a01-072x-00.png,ok,These support costs are a big drain on America's,184
a01-072x-01.png,ok,dollar reserves. Dr. Adenauer's answer is the,181
a01-072x-02.png,ok,once-and-for-all cash offer of 357million. President,182
a01-072x-03.png,ok,Kennedy's rejection of it is a painful blow to the,177
a01-072x-04.png,ok,West German Government. It will now have to pay,174
a01-072x-05.png,err,more - and increase taxation to do so - or,179
a01-072x-06.png,err,run the obvious risks in upsetting the new,179
a01-072x-07.png,ok,American administration.,172
a01-077-00.png,ok,"And, since this is election year in West",184
a01-077-01.png,ok,"Germany, Dr. Adenauer is in a tough",183
a01-077-02.png,ok,spot. Joyce Egginton cables: President,182
a01-077-03.png,ok,Kennedy at his Washington Press con-,182
a01-077-04.png,ok,ference admitted he did not know,182
a01-077-05.png,ok,whether America was lagging behind,182
a01-077-06.png,ok,Russia in missile power. He said he,179
a01-077-07.png,ok,was waiting for his senior military,182
a01-077-08.png,ok,aides to come up with the answer on,179
a01-077-09.png,ok,February 20.,182
a01-077u-00.png,err,"And, since this is election year in West",172
a01-077u-01.png,ok,"Germany, Dr. Adenauer is in a tough spot.",169
a01-077u-02.png,ok,Joyce Egginton cables: President Kennedy,171
a01-077u-03.png,ok,at his Washington Press conference admitted,172
a01-077u-04.png,ok,he did not know whether America was,170
a01-077u-05.png,ok,lagging behind Russia in missile power.,170
a01-077u-06.png,ok,He said he was waiting for his senior,171
a01-077u-07.png,ok,military aides to come up with the answer,172
a01-077u-08.png,ok,on February 20.,168
a01-082u-00.png,ok,This surprising statement was a sharp about-,170
a01-082u-01.png,ok,face from his warnings during the,172
a01-082u-02.png,ok,Presidential election campaign. He claimed,172
a01-082u-03.png,ok,slackness in the Eisenhower Administration,171
a01-082u-04.png,ok,had caused America to lag behind Russia,172
a01-082u-05.png,ok,in nuclear development. President Kennedy,170
a01-082u-06.png,ok,did his best to avoid giving Pressmen,169
a01-082u-07.png,ok,a direct answer. George Brown,170
a01-082u-08.png,ok,CHILDREN TWO men who are poles apart,167
a01-082u-09.png,ok,in personality last night dominated,170
a01-087-00.png,ok,"Mr. Brown, passionate and warm-hearted, led",161
a01-087-01.png,ok,Labour's attack on the higher health,161
a01-087-02.png,ok,"charges. Mr. Powell, white-faced and outwardly",161
a01-087-03.png,ok,"unemotional, replied with a statistical state-",161
a01-087-04.png,ok,ment - and ended by inciting Labour M Ps,161
a01-087-05.png,ok,to angry uproar. One dealt with the human,161
a01-087-06.png,ok,issue behind the Health Service; the other,161
a01-087-07.png,err,tried to show that the balance-sheet must,161
a01-087-08.png,ok,always come first.,161
a01-087u-00.png,ok,"Mr. Brown, passionate and warm-hearted,",172
a01-087u-01.png,ok,led Labour's attack on the higher health,172
a01-087u-02.png,ok,"charges. Mr. Powell, white-faced and",172
a01-087u-03.png,ok,"outwardly unemotional, replied with a",170
a01-087u-04.png,ok,statistical statement - and ended by inciting,168
a01-087u-05.png,ok,Labour M Ps to angry uproar. One dealt,168
a01-087u-06.png,ok,with the human issue behind the Health,172
a01-087u-07.png,ok,Service; the other tried to show that the,171
a01-087u-08.png,ok,balance-sheet must always come first.,170
a01-091-00.png,ok,The result of the vote was not in,182
a01-091-01.png,ok,doubt. For the Tories were massed,182
a01-091-02.png,ok,in answer to their whips to defeat a,182
a01-091-03.png,ok,censure motion on the Government for,179
a01-091-04.png,ok,"""undermining the Health Service"" and",182
a01-091-05.png,ok,placing heavy burdens on those least,182
a01-091-06.png,ok,able to bear them. Mr. Brown,182
a01-091-07.png,ok,declared that the policy under censure,182
