Image,Segmentation,Transcription,Threshold
a01-014u-01,ok,boycotting the London talks on the,169
a01-014u-02,err,Protectorate's future. Said Mr. Nkumbula,167
a01-014u-03,ok,"last night: ""We want to discuss what to",169
a01-014u-04,ok,"do if the British demonstrations.""",166
a01-014u-05,ok,"Yesterday Sir Roy's chief aide, Mr.",168
a01-014u-06,ok,"Julius Greenfield, telephoned his chief",169
a01-014u-07,ok,a report on his talks with Mr. Macmillan,169
a01-014u-08,ok,at Chequers.,165
a01-014x-00,ok,Sir Roy's United Federal Party is boycotting,197
a01-014x-01,ok,the London talks on the Protectorate's,193
a01-014x-02,ok,future. Said Mr. Nkumbula last night:,196
a01-014x-03,ok,"""We want to discuss what to do if the",189
a01-014x-04,ok,British Government gives in to Sir Roy,187
a01-014x-05,ok,and the talks fall through. There are bound,193
a01-014x-06,ok,"to be demonstrations."" Yesterday Sir Roy's",194
a01-014x-07,ok,"chief aide, Mr. Julius Greenfield, telephoned",188
a01-014x-08,ok,his chief a report on his talks with Mr.,184
a01-014x-09,ok,Macmillan at Chequers.,190
a01-020-00,ok,Mr. Macleod went on with the conference at,176
a01-020-01,ok,Lancaster House despite the crisis which had,176
a01-020-02,ok,blown up. He has now revealed his full plans,176
a01-020-03,ok,to the Africans and Liberals attending. These,176
a01-020-04,ok,plans do not give the Africans the overall,176
a01-020-05,ok,majority they are seeking. African delegates,176
a01-020-06,ok,are studying them today. The conference,176
a01-020-07,ok,will meet to discuss the function of a,176
a01-020-08,ok,proposed House of Chiefs.,176
a01-020u-00,ok,Mr. Macleod went on with the conference,169
a01-020u-01,ok,at Lancaster House despite the crisis,171
a01-020u-02,ok,which had blown up. He has now revealed,169
a01-020u-03,ok,his full plans to the Africans and Liberals,169
a01-020u-04,ok,attending. These plans do not give the,169
a01-020u-05,ok,Africans the overall majority they are,169
a01-020u-06,ok,seeking. African delegates are studying,170
a01-020u-07,ok,them today. The conference will meet,170
a01-020u-08,ok,to discuss the function of a proposed,167
a01-020u-09,ok,House of Chiefs.,168
a01-020x-00,ok,Mr. Macleod went on with the conference at,151
a01-020x-01,ok,Lancaster House despite the crisis which had,153
a01-020x-02,ok,blown up. He has now revealed his full plans,157
a01-020x-03,ok,to the Africans and Liberals attending. These,152
a01-020x-04,ok,plans do not give the Africans the overall majo-,147
a01-020x-05,ok,rity they are seeking. African delegates are,155
a01-020x-06,ok,studying them today. The conference will meet,157
a01-020x-07,ok,to discuss the function of a proposed House,153
a01-020x-08,ok,of Chiefs.,152
a01-026-00,ok,"MR. IAIN MACLEOD, the Colonial Secretary, denied",182
a01-026-01,ok,in the Commons last night that there have been,182
a01-026-02,err,secret negotiations on Northern Rhodesia's future.,182
a01-026-03,ok,The Northern Rhodesia conference in London has,182
a01-026-04,ok,been boycotted by the two main settlers' parties -,182
a01-026-05,ok,the United Federal Party and the Dominion Party.,182
a01-026-06,ok,"But representatives of Sir Roy Welensky, Prime",182
a01-026-07,err,"Minister of the Central African Federation, went",182
a01-026-08,ok,to Chequers at the week-end for talks with,182
a01-026-09,ok,Mr. Macmillan.,182
a01-026u-00,ok,"MR. IAIN MACLEOD, the Colonial Secretary,",168
a01-026u-01,ok,denied in the Commons last night that,169
a01-026u-02,ok,there have been secret negotiations on,170
a01-026u-03,ok,Northern Rhodesia's future. The Northern,170
a01-026u-04,ok,Rhodesia conference in London has been,171
a01-026u-05,ok,boycotted by the two main settlers' parties -,169
a01-026u-06,ok,the United Federal Party and the Dominion,168
a01-026u-07,ok,Party. But representatives of Sir Roy,171
a01-026u-08,ok,"Welensky, Prime Minister of the Central",168
a01-026u-09,ok,"African Federation, went to Chequers at",170
a01-026u-10,ok,the week-end for talks with Mr. Macmillan.,169
a01-026x-00,ok,"Mr. Iain Macleod, the Colonial Secretary, denied",192
a01-026x-01,ok,in the Commons last night that there have,194
a01-026x-02,ok,been secret negotiations on the Northern Rhodesia's,193
a01-026x-03,ok,future. The Northern Rhodesia conference in,187
a01-026x-04,err,London has been boycotted by the two main,184
a01-026x-05,err,settlers' parties - the United Federal Party,191
a01-026x-06,ok,and the Dominion Party. But representatives,191
a01-026x-07,ok,"of Sir Roy Welensky, Prime Minister of the",186
a01-026x-08,ok,"Central African Federation, went to Chequers",182
a01-026x-09,ok,at the week-end for talks with Mr. Macmillan.,185
a01-030-00,ok,Northern Rhodesia is a member of the Federation.,176
a01-030-01,err,Mr. Macleod was not at the week-end meeting. But he told,176
a01-030-02,ok,"M Ps yesterday: ""I have no knowledge of secret negotiations.""",176
a01-030-03,ok,He said Britain had an obligation to consult the Federal,176
a01-030-04,ok,Government. But the final decision remained with the British,176
a01-030-05,err,"Government. Mr. James Callaghan, Labour's Colonial spokesman,",176
a01-030-06,ok,said Sir Roy had no right to delay progress in the talks by,182
a01-030-07,ok,refusing to sit round the conference table.,182
a01-030u-00,ok,Northern Rhodesia is a member of the Federation.,169
a01-030u-01,ok,Mr. Macleod was not at the week-end,169
a01-030u-02,err,"meeting. But he told M Ps yesterday: ""I",170
a01-030u-03,ok,"have no knowledge of secret negotiations.""",170
a01-030u-04,ok,He said Britain had an obligation to consult,169
a01-030u-05,ok,the Federal Government. But the final,170
a01-030u-06,ok,decision remained with the British Government.,169
a01-030u-07,ok,"Mr. James Callaghan, Labour's Colonial",172
a01-030u-08,ok,"spokesman, said Sir Roy had no right to",169
a01-030u-09,ok,delay progress in the talks by refusing,170
a01-030u-10,ok,to sit round the conference table.,170
a01-030x-00,ok,Northern Rhodesia is a member of the Fede-,153
a01-030x-01,ok,ration. Mr. Macleod was not at the week-end,158
a01-030x-02,ok,"meeting. But he told M Ps yesterday: ""I",158
a01-030x-03,ok,"have no knowledge of secret negotiations."" He",151
a01-030x-04,ok,said Britain had an obligation to consult,148
a01-030x-05,err,"the Federal Government. Mr. James Callaghan,",155
a01-030x-06,ok,"Labour's Colonial spokesman, said Sir Roy had",158
a01-030x-07,ok,no right to delay progress in the talks by,155
a01-030x-08,ok,refusing to sit round the conference table.,153
a01-038-00,ok,Mr. Macleod thought the two Rhodesian,182
a01-038-01,ok,parties had refused to attend the talks,182
a01-038-02,ok,because Sir Roy had found messages,182
a01-038-03,ok,"sent from the Government were ""unsatisfac-",182
a01-038-04,err,"tory."" African delegates to the talks yester-",182
a01-038-05,ok,day called on Mr. Macmillan to cease his,182
a01-038-06,ok,"negotiations with Sir Roy's representative,",182
a01-038-07,ok,Mr. Julius Greenfield. He was at Che-,182
a01-038-08,ok,quers last week-end. They said they,182
a01-038-09,ok,"regarded with ""growing anger"" the ""gross",182
a01-038-10,ok,"and unconstitutional"" interference by",182
a01-038-11,ok,Sir Roy's Federal Government in the,191
a01-038-12,ok,talks.,182
a01-038x-00,ok,Mr. Macleod thought the two Rhodesian parties,185
a01-038x-01,ok,had refused to attend the talks because Sir Roy,186
a01-038x-02,ok,had found messages sent from the Government were,185
a01-038x-03,err,"""unsatisfactory."" African delegates to the talks yesterday",180
a01-038x-04,ok,called on Mr. Macmillan to cease his negotiations with,175
a01-038x-05,err,"Sir Roy's representative, Mr. Julius Greenfield. He was",182
a01-038x-06,err,at Chequers last week-end. They said they regarded,186
a01-038x-07,err,"with ""growing anger"" the gross and unconstitutional""",180
a01-038x-08,ok,interference by Sir Roy's Federal Government in the talks.,176
a01-043-00,ok,Informal talks at Lancaster House will,176
a01-043-01,ok,resume today. President Kennedy today,176
a01-043-02,ok,defended the appointment of a Negro as,176
a01-043-03,ok,his Housing Minister. It has aroused,176
a01-043-04,ok,strong opposition from the anti-Negro,176
a01-043-05,err,senators of the Deep South. The negro,176
a01-043-06,err,is Mr. Robert Weaver of New York. One,176
a01-043-07,ok,of his tasks will be to see there is no,176
a01-043-08,ok,racial discrimination in Government,176
a01-043-09,ok,and State housing projects.,176
a01-043-10,err,B.Kaufmann,176
a01-043u-00,ok,Informal talks at Lancaster House will,169
a01-043u-01,ok,resume today. PRESIDENT KENNEDY today,168
a01-043u-02,ok,defended the appointment of a Negro as,170
a01-043u-03,ok,his Housing Minister. It has aroused strong,171
a01-043u-04,ok,opposition from the anti-Negro senators of the,168
a01-043u-05,ok,Deep South. The negro is Mr. Robert #,169
a01-043u-06,ok,Weaver of New York. One of his tasks will,169
a01-043u-07,ok,be to see there is no racial discrimination,170
a01-043u-08,ok,in Government and State housing,169
a01-043u-09,ok,projects.,166
a01-043x-00,ok,Informal talks at Lancaster House will resume,181
a01-043x-01,ok,today. PRESIDENT KENNEDY today defended,177
a01-043x-02,ok,the appointment of a Negro as his Housing Minister.,178
a01-043x-03,ok,It has aroused strong opposition from the anti-Negro,171
a01-043x-04,ok,senators of the Deep South. The negro is Mr.,168
a01-043x-05,ok,Robert Weaver of New York. One of his tasks,170
a01-043x-06,ok,will be to see there is no racial discrimination,175
a01-043x-07,ok,in Government and State housing projects.,171
a01-049-00,ok,Senator Allen Ellender of Louisiana sparked,176
a01-049-01,ok,off the opposition by telling a television,176
a01-049-02,ok,"audience it was ""current Washington gossip""",176
a01-049-03,ok,that Weaver once had Communist affiliations.,176
a01-049-04,ok,"The Senate Banking Committee, which is headed",176
a01-049-05,ok,"by another Southern Senator - Willis Robertson,",176
a01-049-06,ok,of Virginia - met today in closed session,176
a01-049-07,err,to discuss Weaver's appointment. Senator,176
a01-049-08,ok,Robertson later disclosed he had sent a letter,176
a01-049-09,ok,to Mr. Kennedy saying he had received several,176
a01-049-10,err,complaints about Weaver's loyalty.,176
a01-049u-00,ok,"Senator Allen Ellender, of Louisiana,",171
a01-049u-01,ok,sparked off the opposition by telling a,168
a01-049u-02,ok,"television audience it was ""current",170
a01-049u-03,ok,"Washington gossip"" that Weaver once had",170
a01-049u-04,ok,Communist affiliations. The Senate Banking,170
a01-049u-05,ok,"Committee, which is headed by another",170
a01-049u-06,ok,"Southern Senator - Willis Robertson, of",171
a01-049u-07,ok,Virginia - met today in closed session to,170
a01-049u-08,err,discuss Weaver's appointment. Senator,169
a01-049u-09,ok,Robertson later disclosed he had sent a letter,169
a01-049u-10,ok,to Mr. Kennedy saying he had received,169
a01-049x-00,err,"Senator Allen Ellender, of Louisiana,",172
a01-049x-01,ok,sparked off the opposition by telling a,170
a01-049x-02,ok,"television audience it was ""current Washington",171
a01-049x-03,ok,"gossip"" that Weaver once had Communist affilia-",171
a01-049x-04,ok,"tions. The Senate Banking Committee, which",163
a01-049x-05,ok,is headed by another Southern Senator -,165
a01-049x-06,ok,"Willis Robertson, of Virginia - met today in",171
a01-049x-07,err,closed session to discuss Weaver's appointment.,168
a01-049x-08,ok,Senator Robertson later disclosed he had sent a,162
a01-049x-09,ok,letter to Mr. Kennedy saying he had received several,164
a01-049x-10,ok,complaints about Weaver's loyalty.,171
a01-053-00,err,He said these concerned Mr. Weaver's,152
a01-053-01,ok,alleged association with organisations black-,152
a01-053-02,ok,listed by the Government. Immediately,152
a01-053-03,ok,Mr. Kennedy rushed a letter to Senator,152
a01-053-04,err,Robertson saying the Federal Bureau of In-,152
a01-053-05,err,vestigation had reported on Mr. Weaver.,152
a01-053-06,ok,"He believed he would perform ""outstanding",152
a01-053-07,ok,"service"" in his post. Senator Robertson's",152
a01-053-08,err,committee has to pass Mr. Weaver's,152
a01-053-09,ok,nomination before it can be con-,152
a01-053-10,ok,# sidered by the full Senate.,152
a01-053u-00,ok,He said these concerned Mr. Weaver's,171
a01-053u-01,ok,alleged association with organisations black-,170
a01-053u-02,ok,listed by the Government. Immediately Mr.,170
a01-053u-03,ok,Kennedy rushed a letter to Senator Robertson,170
a01-053u-04,ok,saying the Federal Bureau of Investigation had,167
a01-053u-05,ok,reported on Mr. Weaver. He believed,169
a01-053u-06,ok,"he would perform ""outstanding service""",168
a01-053u-07,ok,in his post. Senator Robertson's committee,169
a01-053u-08,ok,has to pass Mr. Weaver's nomination before it,168
a01-053u-09,ok,can be considered by the full Senate.,169
a01-053x-00,err,He said these concerned Mr. Weaver's alleged,171
a01-053x-01,err,association with organisations black-listed by the,175
a01-053x-02,ok,Government. Immediately Mr. Kennedy rushed a letter,171
a01-053x-03,ok,to Senator Robertson saying the Federal Bureau,169
a01-053x-04,ok,of Investigation had reported on Mr. Weaver.,164
a01-053x-05,ok,"He believed he would perform ""outstanding",174
a01-053x-06,ok,"service"" in his post. Senator Robertson's",176
a01-053x-07,ok,committee has to pass Mr. Weaver's,165
a01-053x-08,ok,nomination before it can be considered by the,168
a01-053x-09,ok,full Senate.,174
a01-058-00,ok,PRESIDENT KENNEDY is ready to get tough,152
a01-058-01,ok,over West Germany's cash offer to help,152
a01-058-02,err,America's balance of payments position.,152
a01-058-03,ok,He said bluntly in Washington yester-,152
a01-058-04,ok,day that the offer - 357million - was,152
a01-058-05,err,not good enough. And he indicated,152
a01-058-06,err,that his Government would try to get,152
a01-058-07,ok,Germany to pay more. He did not,152
a01-058-08,ok,mention personal talks with Dr.,152
a01-058-09,ok,"Adenauer, the West German Chancellor.",152
a01-058u-00,ok,PRESIDENT KENNEDY is ready to get tough,166
a01-058u-01,ok,over West Germany's cash offer to help,167
a01-058u-02,ok,America's balance of payments position. He,167
a01-058u-03,ok,said bluntly in Washington yesterday that,169
a01-058u-04,ok,the offer - 357million - was not good enough.,167
a01-058u-05,ok,And he indicated that his Government,166
a01-058u-06,ok,would try to get Germany to pay more. He,167
a01-058u-07,ok,did not mention personal talks with Dr.,169
a01-058u-08,ok,"Adenauer, the West German Chancellor.",169
a01-058x-00,ok,PRESIDENT KENNEDY is ready to get,174
a01-058x-01,ok,tough over West Germany's cash offer to,176
a01-058x-02,ok,help America's balance of payments position,174
a01-058x-03,ok,He said bluntly in Washington yesterday,174
a01-058x-04,ok,that the offer - 357million - was not good,173
a01-058x-05,ok,enough. And he indicated that his,164
a01-058x-06,ok,Government would try to get Germany to,177
a01-058x-07,ok,pay more. He did not mention personal,177
a01-058x-08,ok,"talks with Dr. Adenauer, the West",170
a01-058x-09,ok,German Chancellor.,167
a01-063-00,ok,"But he said discussions ""on a higher",152
a01-063-01,err,"level than in the past"" might be",152
a01-063-02,ok,useful. The President will probably,152
a01-063-03,ok,"discuss the problem with Dr. Brentano,",152
a01-063-04,ok,"the West German Foreign Minister, who is",152
a01-063-05,ok,due in Washington next week. A big,152
a01-063-06,err,"slice of Germany's ""aid"" # is the early",152
a01-063-07,ok,payment of a 210million debt to America.,152
a01-063-08,ok,United States officials quickly point out,152
a01-063-09,ok,that this is money due to America,152
a01-063-10,ok,anyway.,152
a01-063u-00,err,"But he said discussions ""on a higher",169
a01-063u-01,ok,"level than in the past"" might be useful.",171
a01-063u-02,ok,The President will probably discuss the,170
a01-063u-03,ok,"problem with Dr. Brentano, the West German",169
a01-063u-04,ok,"Foreign Minister, who is due in Washington",168
a01-063u-05,ok,"next week. A big slice of Germany's ""aid""",169
a01-063u-06,ok,is the early payment of a 210million,169
a01-063u-07,ok,debt to America. United States officials,168
a01-063u-08,ok,quickly point out that this is money due,167
a01-063u-09,ok,to America anyway.,169
a01-063x-00,ok,"But he said discussions ""on a higher",188
a01-063x-01,ok,"level than in the past"" might be useful.",187
a01-063x-02,err,The President will probably discuss the,187
a01-063x-03,err,"problem with Dr. Brentano, the West",181
a01-063x-04,ok,"German Foreign Minister, who is due in",180
a01-063x-05,ok,Washington next week. A big slice of,185
a01-063x-06,ok,"Germany's ""aid"" is the early payment",186
a01-063x-07,ok,of a 210million debt to America. United,181
a01-063x-08,err,States officials quickly point out that,178
a01-063x-09,err,this is money due to America anyway.,183
a01-068u-00,ok,And they are unimpressed by the Germans' claim,168
a01-068u-01,ok,that they cannot pay more than 357million,169
a01-068u-02,ok,without upsetting their own economy. The,170
a01-068u-03,ok,Americans say Germany is having it too,170
a01-068u-04,ok,good and is not paying for the past,166
a01-068u-05,ok,or for the present. The Adenauer Government,168
a01-068u-06,ok,flatly rejected attempts by the Eisenhower,168
a01-068u-07,ok,Government to get them to pay a regular,169
a01-068u-08,ok,sum towards the cost of keeping American,167
a01-068u-09,ok,troops in Germany.,167
a01-072u-00,ok,These support costs are a big drain on,169
a01-072u-01,ok,America's dollar reserves. Dr. Adenauer's,170
a01-072u-02,ok,answer is the once-and-for-all cash,170
a01-072u-03,ok,offer of 357 million. President Kennedy's,170
a01-072u-04,ok,rejection of it is a painful blow to the,169
a01-072u-05,ok,West German Government. It will now have,168
a01-072u-06,ok,to pay more - and increase taxation to do,168
a01-072u-07,ok,so - or run the obvious # risks in upsetting,169
a01-072u-08,ok,the new American administration.,169
a01-072x-00,ok,These support costs are a big drain on America's,184
a01-072x-01,ok,dollar reserves. Dr. Adenauer's answer is the,181
a01-072x-02,ok,once-and-for-all cash offer of 357million. President,182
a01-072x-03,ok,Kennedy's rejection of it is a painful blow to the,177
a01-072x-04,ok,West German Government. It will now have to pay,174
a01-072x-05,err,more - and increase taxation to do so - or,179
a01-072x-06,err,run the obvious risks in upsetting the new,179
a01-072x-07,ok,American administration.,172
a01-077-00,ok,"And, since this is election year in West",184
a01-077-01,ok,"Germany, Dr. Adenauer is in a tough",183
a01-077-02,ok,spot. Joyce Egginton cables: President,182
a01-077-03,ok,Kennedy at his Washington Press con-,182
a01-077-04,ok,ference admitted he did not know,182
a01-077-05,ok,whether America was lagging behind,182
a01-077-06,ok,Russia in missile power. He said he,179
a01-077-07,ok,was waiting for his senior military,182
a01-077-08,ok,aides to come up with the answer on,179
a01-077-09,ok,February 20.,182
a01-077u-00,err,"And, since this is election year in West",172
a01-077u-01,ok,"Germany, Dr. Adenauer is in a tough spot.",169
a01-077u-02,ok,Joyce Egginton cables: President Kennedy,171
a01-077u-03,ok,at his Washington Press conference admitted,172
a01-077u-04,ok,he did not know whether America was,170
a01-077u-05,ok,lagging behind Russia in missile power.,170
a01-077u-06,ok,He said he was waiting for his senior,171
a01-077u-07,ok,military aides to come up with the answer,172
a01-077u-08,ok,on February 20.,168
a01-082u-00,ok,This surprising statement was a sharp about-,170
a01-082u-01,ok,face from his warnings during the,172
a01-082u-02,ok,Presidential election campaign. He claimed,172
a01-082u-03,ok,slackness in the Eisenhower Administration,171
a01-082u-04,ok,had caused America to lag behind Russia,172
a01-082u-05,ok,in nuclear development. President Kennedy,170
a01-082u-06,ok,did his best to avoid giving Pressmen,169
a01-082u-07,ok,a direct answer. George Brown,170
a01-082u-08,ok,CHILDREN TWO men who are poles apart,167
a01-082u-09,ok,in personality last night dominated,170
a01-087-00,ok,"Mr. Brown, passionate and warm-hearted, led",161
a01-087-01,ok,Labour's attack on the higher health,161
a01-087-02,ok,"charges. Mr. Powell, white-faced and outwardly",161
a01-087-03,ok,"unemotional, replied with a statistical state-",161
a01-087-04,ok,ment - and ended by inciting Labour M Ps,161
a01-087-05,ok,to angry uproar. One dealt with the human,161
a01-087-06,ok,issue behind the Health Service; the other,161
a01-087-07,err,tried to show that the balance-sheet must,161
a01-087-08,ok,always come first.,161
a01-087u-00,ok,"Mr. Brown, passionate and warm-hearted,",172
a01-087u-01,ok,led Labour's attack on the higher health,172
a01-087u-02,ok,"charges. Mr. Powell, white-faced and",172
a01-087u-03,ok,"outwardly unemotional, replied with a",170
a01-087u-04,ok,statistical statement - and ended by inciting,168
a01-087u-05,ok,Labour M Ps to angry uproar. One dealt,168
a01-087u-06,ok,with the human issue behind the Health,172
a01-087u-07,ok,Service; the other tried to show that the,171
a01-087u-08,ok,balance-sheet must always come first.,170
a01-091-00,ok,The result of the vote was not in,182
a01-091-01,ok,doubt. For the Tories were massed,182
a01-091-02,ok,in answer to their whips to defeat a,182
a01-091-03,ok,censure motion on the Government for,179
a01-091-04,ok,"""undermining the Health Service"" and",182
a01-091-05,ok,placing heavy burdens on those least,182
a01-091-06,ok,able to bear them. Mr. Brown,182
a01-091-07,ok,declared that the policy under censure,182
a01-091-08,ok,was monstrous. It had offended many,179
a01-091-09,ok,people far beyond the ranks of Labour,179
a01-091-10,ok,supporters.,178
a01-091u-00,ok,The result of the vote was not in doubt.,169
a01-091u-01,ok,For the Tories were massed in answer to,172
a01-091u-02,ok,their whips to defeat a censure motion,170
a01-091u-03,ok,"on the Government for ""undermining the",172
a01-091u-04,ok,"Health Service"" and placing heavy burdens",169
a01-091u-05,ok,on those least able to bear them. Mr.,169
a01-091u-06,ok,Brown declared that the policy under,168
a01-091u-07,ok,censure was monstrous. It had offended,170
a01-091u-08,ok,many people far beyond the ranks of,169
a01-091u-09,ok,Labour supporters.,169
a01-096u-00,ok,"The Press, many doctors and public were",171
a01-096u-01,err,denouncing the proposals. He quoted from,169
a01-096u-02,ok,this letter which Mr. Gaitskell had received:,171
a01-096u-03,err,"""My background is a doctor of 68, who",169
a01-096u-04,ok,"has practised medicine for 43 years, chiefly",169
a01-096u-05,ok,"as a panel doctor. ""I am a lifelong",169
a01-096u-06,ok,Conservative. I am horrified and amazed,171
a01-096u-07,ok,by my party's proposal to prostitute the,169
a01-096u-08,ok,whole principle of the State service and,169
a01-096u-09,ok,to render that service a hardship to poor,168
a01-096u-10,ok,people.,170
a01-102-00,ok,"""After a lifetime of helping others and",182
a01-102-01,ok,"healing the sick, my considered",178
a01-102-02,err,opinion is that anybody supporting,178
a01-102-03,err,"the increased charges is a wicked,",182
a01-102-04,err,"old -."" Mr. Brown went on: ""We",182
a01-102-05,ok,are dealing with a noble edifice which,182
a01-102-06,ok,needs an imaginative architect to,178
a01-102-07,ok,"improve it, but it has got a",182
a01-102-08,ok,quantity surveyor. We have descended,178
a01-102-09,ok,from the real problems to fiddling about,178
a01-102-10,ok,with bills of cost.,179
a01-102u-00,err,"""After a lifetime of helping others and",169
a01-102u-01,ok,"healing the sick, my considered opinion is that",170
