Image,Transcription,Length
035_320_001_02_19,"-pliance with requisition as above , both defini-",49
035_320_001_02_20,"tive decrees are provisionally pronounced , & to",48
035_320_001_02_21,"them , the requisition makes reference .",40
035_320_001_02_22,Art . 7 . The provisionally definitive decrees,46
035_320_001_02_23,"being pronounced , the Judge puts its to the several",52
035_321_001_02_02,parties whether or no Quasi-Trial shall have,44
035_321_001_02_03,"place: if any one says yes, he appoints day &",45
035_321_001_02_04,"hour: earlier or ulterior time, if applied for, are",51
035_321_001_02_05,granted by him or refused: if Quasi Trial be,44
035_321_001_02_06,"not applied for, the provisional decrees, from",46
035_321_001_02_07,"provisional, become absolute.",29
035_321_001_02_08,Art. 8. The Quasi Trial is performed at,39
035_321_001_02_09,one Sitting or if more be necessary at divers sittings:,55
035_321_001_02_10,but unless for special and extraordinary reason as-,51
035_321_001_02_11,"-signed, it is gone through at one sitting, unless",50
035_321_001_02_12,the whole time employable at that one Sitting,45
035_321_001_02_13,has been consumed before the suit has thus been,47
035_321_001_02_14,rendered ripe for definitive decrees.,37
035_321_001_02_15,Art. 9. At this recapitulatory examination,42
035_321_001_02_16,"no evidence is receivable, that was not exhibited",49
035_321_001_02_17,in the course of the original examination.,42
035_321_001_02_18,Art. 10. At this Quasi Trial may be re-,39
035_321_001_02_19,-argued and reconsidered or for the first time ar-,50
035_321_001_02_20,"gued and considered, the question of law.",41
035_321_001_02_21,Art. 11. The incidental occasional on,37
035_321_001_02_22,which a hearing before a Quasi Jury has place,45
035_321_001_02_23,are those on which Appeal for Quasi misdecision,47
035_322_001_02_02,may have place as per Ch . XXI . § .,36
035_322_001_02_03,"Art . 12 . On both sorts of occasions , appli-",46
035_322_001_02_04,"-cations for a Quasi Jury hearing , is in effect",48
035_322_001_02_05,Appeal from a Judge Immediate without a,39
035_322_001_02_06,"Quasi Jury , to himself or another Judge of the",47
035_322_001_02_07,same Judicatory with a Quasi Jury . As to the,45
035_322_001_02_08,difference between this sort of virtual Appeal &,48
035_322_001_02_09,the Appeal so called to a distant Judicatory,44
035_322_001_02_11,Art . 13 . Not till after a hearing on the,42
035_322_001_02_12,points in question in the Immediate Judicatory,46
035_322_001_02_13,"before a Quasi Jury , can the suit be carried",45
035_322_001_02_14,by Appeal to an Appellate Judicatory .,38
035_322_001_02_15,Art . 14 . During the days of their appoint,43
035_322_001_02_16,"-ed service , the Quasi Jury when not in actual",47
035_322_001_02_17,"attendance in that character , take their station",49
035_322_001_02_18,"among the Judicial Visitors , in the Visitors Gal-",50
035_322_001_02_19,lery as per Ch . XVII S . during the performance,48
035_322_001_02_20,of original examinations .,26
035_323_001_03_02,S . 2 . Composition :  number,29
035_323_001_03_03,Art . 1 . In every Quasi Jury are two classes,45
035_323_001_03_04,"of Quasi Jurors the ordinary , and the Select .",47
035_323_001_03_05,Art . 2 . In every Quasi Jury that a deciding,45
035_323_001_03_06,"voice may never be wanting , the number of Quasi",48
035_323_001_03_07,"Jurors , is an odd number :  ordinary number three .",52
035_323_001_03_08,"For this or that particular purpose , the Legislature",53
035_323_001_03_09,"will give encrease to the number , if and where it",50
035_323_001_03_10,sees convenient . Number of the ordinary at least,49
035_323_001_03_11,twice as great as of the Select .,33
035_323_001_03_12,Art . 3 . For appropriate moral aptitude &,42
035_323_001_03_13,thence for giving determination to the will of the,50
035_323_001_03_14,"aggregate body , the ordinary are more particularly",51
035_323_001_03_15,looked to :  their interest being that of the greatest,54
035_323_001_03_16,number :  for appropriate intellectual & active ap-,51
035_323_001_03_17,"-titude , for information & occasional aid and guid-",52
035_323_001_03_18,"ance to the judgement of his or their colleagues ,",50
035_323_001_03_20,Art . 4 . Foreman a select Juryman :  saving to,47
035_323_001_03_21,the majority the power of locating out of their own,51
035_323_001_03_22,number a different one .,24
035_324_001_02_03,Art . 1 . The functions exercised by Quasi-Jurors,49
035_324_001_02_05,1 . Exercised by each of them in his individual,47
035_324_001_02_06,"capacity are , as per Ch . XI . S . 1 . the auditive , 2 . the",62
035_324_001_02_07,lective ; 3 . the inspective ; 4 the interrogative :  5 . the,61
035_324_001_02_09,"Art . 2 . Exercised by them no otherwise , than in a",52
035_324_001_02_10,"body are . 1 . the apinative , 2 the appeal licensing .",55
035_324_001_02_11,Art . 3 . Shared with the Judge by the Quasi Ju-,48
035_324_001_02_12,ry in a body is the apinative :  not shared with him,52
035_324_001_02_14,Art . 4 . I . Auditive function . In the exercise of,52
035_324_001_02_15,this function they have at the same time with the,49
035_324_001_02_16,"Judge , the hearing of such discourses , as being utter",55
035_324_001_02_17,"ed in the Judicial theatre , are capable of contri-",51
035_324_001_02_18,-buting in the character of grounds of decision to,50
035_324_001_02_19,the formation of the several decrees pronounced by,50
035_324_001_02_21,Art . 5 . So not only all such discourses of the,48
035_324_001_02_22,"Judge as are in a direct way addressed to them ,",48
035_324_001_02_23,"but moreover , all such as are addressed by him ,",49
035_325_001_02_02,on the occasion of this suit to any other of the,48
035_325_001_02_03,actors on the Judicial Theatre :  as to whom Se ChXI.5,54
035_325_001_02_04,Art.6.II . Lecture function . In the exercise of,48
035_325_001_02_05,this function they share with the Judge in the pe,49
035_325_001_02_06,rusal of all evidentiary and other written or,45
035_325_001_02_07,otherwise visibly expressed portions of relevant,48
035_325_001_02_09,Ant . 7.III . Inspective function . In the exer-,48
035_325_001_02_10,"cise of this function , they share with him in",46
035_325_001_02_11,"the inspection , not only of all evidentiary & other",52
035_325_001_02_12,written written or otherwise visibly expressed por-,51
035_325_001_02_13,"-tions of discourse , but also of all persons & things",54
035_325_001_02_14,serving as sources of real evidence .,37
035_325_001_02_15,Ant .8.IV . Interrogative function . In the ex-,47
035_325_001_02_16,"ercise of this function , they address themselves",49
035_325_001_02_17,to any of the actions on the Judicial Theatre .,47
035_325_001_02_18,As to the mode of giving effect to the desire,45
035_325_001_02_19,"signified by such experience , see Procedure Code",49
035_325_001_02_21,Art 9 . V . Commentative function . In the,42
035_325_001_02_22,"exercise of this function , they take for the sub-",50
035_325_001_02_23,"ject of their remarks , not only the evidence even",50
035_327_001_02_02,Art. II. VII. Appeal warranting function. A certain,51
035_327_001_02_03,"class of penal cases there is, in relation to which by",54
035_327_001_02_04,"reason of the concurrence of certain circumstances, it",54
035_327_001_02_05,may happen that in the eyes of the Legislature the,50
035_327_001_02_06,"certain evil composed of delay, vexation and expence",52
035_327_001_02_07,"to parties injured, might perhaps be not improperly",51
035_327_001_02_08,regarded as outweighing the possible chance of effec,52
035_327_001_02_09,tive mis-decision to the prejudice of the defendant,51
035_327_001_02_10,"on the part of the Immediate Judicatory, in which",49
035_327_001_02_11,case it may perhaps be deemed fit by the Le-,44
035_327_001_02_12,"-gislature, in the framing of the Penal Code, to",48
035_327_001_02_13,"lay down as the general rule, that in these easy",48
035_327_001_02_14,Appeal shall not have place. Offences of indigent,49
035_327_001_02_15,"depredation, or say of predatory indigence, is the",50
035_327_001_02_16,appellation which may serve for a general indication,52
035_327_001_02_17,of the class of offences here in view. As to the enu-,53
035_327_001_02_18,"meration of these offences, See Procedure Code tit.",51
035_327_001_02_20,"Art. 12. Among two circumstances, by the consider-",50
035_327_001_02_21,"-ation of which, this opinion may on the part of the",52
035_327_001_02_22,Legislature be perhaps produced are the following,49
035_328_001_02_02,1 . The mischievousness of the office .,39
035_328_001_02_03,"2 . The unavoidable severity of the punishment , al-",52
035_328_001_02_04,tho '  no ultimately irriparable evil should be involved,56
035_328_001_02_06,"3 . The comparative multitude of affenders , relation",53
035_328_001_02_07,had to affenders by other crimes .,34
035_328_001_02_08,"4 . The comparative improbability , even of prosecu-",52
035_328_001_02_09,-tion to the prejudice of the relatively innocent .,51
035_328_001_02_10,5 . The otherwise certain multiplicity of groundless,52
035_328_001_02_11,"Appeals , on the part of those who are guilty :  name",53
035_328_001_02_12,ly for the chance of ultimate impunity coupled with,51
035_328_001_02_13,the certainty of intermedial respite .,38
035_328_001_02_14,Art . 13 . In these cases in the exercise of its,48
035_328_001_02_15,"Appeal - licensing function , the Quasi Jury in any",51
035_328_001_02_16,"instance in which it appears to them , that the de-",51
035_328_001_02_17,-cision of the Immediate ought to be subject to,47
035_328_001_02_18,"the revision of the Appellate Judicatory , make de-",51
035_328_001_02_19,-claration to this effect in and by an appropriate,50
035_328_001_02_20,apinative decree :  which done the record goes up to,52
035_328_001_02_21,"the Appellate Judicatory , as in other cases . As to",52
035_328_001_02_22,the particular effect given to the Appeal thus,46
035_328_001_02_23,see Procedure Code . Tit . Quasi Trial .,40
035_328_001_02_24,So as to the form of registration in relation to it .,53
071_002_002_04_01,"gunpowder not properly secured  ; and you , being at a dis :",60
071_002_002_04_02,": tance and knowing him to be deaf , throw a stick at him",57
071_002_002_04_03,which beats the candle out of his hand or knocks him,52
071_002_002_04_04,down before he gets open the door .,35
071_002_002_04_05,But the assaulter shall make compensation to the,48
071_002_002_04_06,party assaulted and receive that or more from the neigh :,57
071_002_002_04_07,: bourhood thus saved . How the Neighbourhood is to be,54
071_002_002_04_08,made to pay - See in the Law of Parish Taxes .,46
071_002_002_04_09,For the cases in which it is lawful to trespass against,55
071_002_002_04_10,the persons of others in order to guard against Danger,54
071_002_002_04_11,1 . From the fall of buildings . See Laws concerning ruinous build :,68
071_002_002_04_13,2 . From inundation . See the Law concerning Inundation .,57
071_002_002_04_14,3 . From the sinking or stranding of navigable Vessels . See the,64
071_002_002_04_15,Sea-faring-Man ' s Law :,24
071_002_002_04_16,4 . From the Explosion of Gunpowder . See Laws concerning the,61
071_002_002_04_17,keeping and carriage of Gunpowder .,35
071_002_002_04_18,5 . From Fire . See 1 . Laws concerning buildings 2 . The House :,65
071_002_002_04_20,": holder ' s Law , concerning accidents by Fire . 3 . The Sea-faring-",69
071_002_002_04_21,man ' s Law . Sect concerning accidents by Fire . 5 . The Miner ' s,67
071_002_002_04_22,Law - Sect concerning accidents by Fire . 6 . The Turpentine,60
071_002_002_04_23,Distiller ' s Law :  Sect . Concerning accidents by Fire 7 . The,64
071_002_003_04_01,founder ' s Law . 8 . The Chymists Law &c . &c .,48
071_002_003_04_02,6 . From Storms . See the Seafaring-man ' s Law Sect . Con-,59
071_002_003_04_04,7 . From the Plague and other infectious diseases . See Laws,60
071_002_003_04_05,concerning the Plague &c .,26
071_002_003_04_06,8 . From Persons insane :  See Laws concerning persons,54
071_002_003_04_07,insane or 1 . The Madman ' s Law :  2 . The Ideot ' s Law . 2 . The,67
071_002_003_04_09,Instructions to the Legislator .,32
071_002_003_04_10,It is not clear that in every one of the several titles of,58
071_002_003_04_11,Law above mentioned there will need a provision or set of,57
071_002_003_04_12,"provisions , authorising one person to trespass upon the per-",61
071_002_003_04_13,: son of another . To determine that question with respect to,61
071_002_003_04_14,any of them would be to enter upon a branch of Law fo :,55
071_002_003_04_15,: reign to that in hand . Nor with respect to every one of,58
071_002_003_04_16,"these titles could such provisions be exhibited in terminis ,",61
071_002_003_04_17,in any book of universal Law :  since they will need to be,58
071_002_003_04_18,different according to the various local circumstances of dif :,63
071_002_003_04_19,: ferent states and provinces . The above references are exhi :,63
071_002_003_04_20,": bited only in the way of example , to give a general idea )",61
071_002_003_04_21,of the mode of reference to be adopted on an occa :,51
071_002_003_04_22,": sion , like the present .",27
071_002_003_04_23,"In like manner , neither is it clear that the names",51
071_003_003_04_03,3 . Those of a Schoolmaster over his Scholar . See Law of School,64
071_003_003_04_04,masters and Scholars .,22
071_003_003_04_06,4 . Those of a Domestic Preceptor over his Pupil  . See Law of,62
071_003_003_04_07,Preceptors and Pupils .,23
071_003_003_04_09,5 . Those of a Guardian over his Ward  . See Law of Guardi :,60
071_003_003_04_11,6 Those of Adults over Infants in the same Family . See ib .,60
071_003_003_04_14,7 . Those of a Master over his Servant - See the Law of Ser,59
071_003_003_04_15,vants - The Law of Apprentices  _  Law of Journeymen  _  Law,60
071_003_003_04_16,of the Slaves .  ( a ),22
071_003_003_04_17,Justification 6.th Military Powers & Subservience,49
071_003_003_04_19,Powers which one man may have over the person of,48
071_003_003_04_20,another on a military account are,33
071_003_003_04_21,1 . Those of a military Superior over his Subordinates . For,60
071_003_003_04_22,Constitutional Code - Laws ofof,31
071_003_003_04_23,these See the Army and the Navy Laws .,38
071_003_003_04_24,2 . Those of a military officer over persons at large in a time,63
071_003_003_05_03,There ought to be a separate Title for every species,52
071_003_003_05_04,of servant which has any Article of Law peculiar to it .,56
071_003_004_04_01,of military necessity . See Martial Law :,41
071_003_004_04_02,3 . Those which persons at large may have over other per=,57
071_003_004_04_03,for the sake of military service,32
071_003_004_04_04,": sons at large , in a time of military Necessity . See Martial",63
071_003_004_04_06,Justification 7.th Furtherance of Justice .,43
071_003_004_04_07,Instructions to the Legislator .  _  Analytical View .,54
071_003_004_04_08,"With regard to the object , whatever is done for the purpos=",60
071_003_004_04_09,: es of Justice must be performed either upon the person of,59
071_003_004_04_10,"a man , or upon something that is , or is capable of being , a",62
071_003_004_04_11,"man ' s property . With regard to the occasion , it may be",58
071_003_004_04_12,performed either in the way of execution that is at the con=,60
071_003_004_04_13,: clusion of a suit ; or in the way of process ; that is during,63
071_003_004_04_14,the continuance of a suit . With regard to the person of,56
071_003_004_04_15,"the agent , it may be perfomed either by a regular offi=",56
071_003_004_04_16,": cer of Justice , or by a person at large ; and if by a per-",61
071_003_004_04_17,": son at large , either by special authority from an Officer",60
071_003_004_04_18,"of Justice , or without such authority .",40
071_003_004_04_20,Any thing done to a man ' s person by a Judge or,48
071_003_004_04_21,"other Officer of Justice in pursuance of his authority , or by",62
071_003_004_04_22,any  <gap/>  person whatsoever in due execution,47
071_003_004_04_23,due execution of any legal warrant given by a judge or,54
071_008_004_02_01,Of Excuses Extenuations,23
071_008_004_03_01,have occasioned a man by striking him ; and it appears that,59
071_008_004_03_02,you had no particular intention of striking him :  but yet,58
071_008_004_03_03,"that he was close to you ; insomuch that , had you but looked",61
071_008_004_03_04,"round to observe whether any person was in the way , you",56
071_008_004_03_05,must have seen him ; it will appear that your striking him,58
071_008_004_03_06,was an act of heedlessness . But this will not appear to,56
071_008_004_03_07,be the case if at the time of your beginning to move your,57
071_008_004_03_08,arm he was out of your reach and was bought within it,53
071_008_004_03_09,"unexpectedly and by accident , for instance by a shove from",59
071_008_004_03_10,another person ; or in a street upon his starting aside to,58
071_008_004_03_11,run over by a carriage,22
071_008_004_03_12,avoid being trampled upon by a horse  . So if a housemaid,57
071_008_004_03_13,by throwing water out of a window into a frequented street,58
071_008_004_03_14,were to splash a man or scald him :  or if a horseman by,56
071_008_004_03_15,riding full gallop in a crowded street were to beat a man,57
071_008_004_03_16,down ; or if a coachman by turning a corner furiously were,58
071_008_004_03_17,to drive over a man . These acts are all of them such as in ge=,63
071_008_004_03_19,: neral to be deemed acts of needlessness .,43
071_008_004_03_21,[  ( B )  Degree ]  1 . The degree of heedlessness is the greater the,69
071_008_004_03_22,danger would appear to a person of ordinary prudence ; in case of,65
071_008_004_03_23,a man ' s engaging in the act in question in the circumstances,62
071_008_004_03_25,2 . The greatness of the danger will depend upon a great,56
071_010_002_03_01,Of Excuses Extenuations,23
071_010_002_04_01,heedlessness is to a want of consciousness . See Excuses 1 .,60
071_010_002_04_02,Heedlessness consists in the not being conscious of a ma=,57
071_010_002_04_03,": terial circumstance which really exists , where there are",59
071_010_002_04_04,good or probable grounds for suspecting it to exist .,53
071_010_002_04_05,Rashness consists in the supposing a circumstance,49
071_010_002_04_06,"which , had it existed , would have been material to",52
071_010_002_04_07,exist where there were no good or probable grounds,50
071_010_002_04_08,for supposing it to exist entertaining such a supposition .,59
071_010_002_04_11,"In either case , the Mis-sup osal may have respect",50
071_010_002_04_13,either to the matter of fact or the matter of Law . It res=,59
071_010_002_04_14,: pects the matter of fact when the mistake is concerning,57
071_010_002_04_15,the existence of a fact or circumstance on which,48
071_010_002_04_16,you rely for your Justifiation . It respects the matter,55
071_010_002_04_17,"of Law , when the mistake is concerning the existence",53
071_010_002_04_19,"or import of a Law  , or rule of unwritten Law , which",54
071_010_002_04_20,you suppose to have established the fact or circumstance,56
071_010_002_04_21,in question as a ground of Justification .,42
071_010_002_04_23,[  ( A )  Fact ]  It matters not whether the mis-supposal re=,61
071_010_002_04_24,: spect actual past or present existence of the facts or circum=,64
071_010_003_03_01,Of Excuses Extenuations,23
071_010_003_04_01,"circumstances relied on as grounds of justification , if looked",63
071_010_003_04_02,upon as being past or present ; or the probability of their,59
071_010_003_04_03,existence if looked upon as future .,36
071_010_003_04_04,"Suppose for instance that , with a good intention ,",51
071_010_003_04_05,in order to save the life of a person bitten in the finger,58
071_010_003_04_06,"which you suppose is mad ,",26
071_010_003_04_07,"( as you suppose )  by a mad dog , you cut off the finger",57
071_010_003_04_08,against his will . here 1 . If the dog was not mad at,53
071_010_003_04_10,"the time he bit the person ' s finger , this was a mistake re=",62
071_010_003_04_11,: specting the actual past and present matter of fact . 2 . If,62
071_010_003_04_12,"immediate amputation does not surely cure , or if a cure",56
071_010_003_04_13,"might for a certainty be effected at a cheaper rate , either",60
071_010_003_04_14,of these are mistakes concerning the probable matter of,55
071_010_003_04_15,fact . 3 . If notwithstanding that the dog was mad at,53
071_010_003_04_16,"the time and that the amputation cured , and that a cure",56
071_010_003_04_17,"could not be effected at a cheaper rate , the law admitt=",57
071_010_003_04_18,: ed not the concurrence of these circumstaces as a,51
071_010_003_04_19,"justification for the cutting off a man ' s finger , this would",63
071_010_003_04_20,"be a mistake with regard to the matter of right , or in",55
071_010_003_04_21,other words of the matter of Law,32
071_010_003_04_23,[  ( B )  Law ]  See Excuse II,30
071_010_003_04_25,[  ( C )  Unwritten Law ]  See Excuse II,40
071_018_002_03_01,Of Simple Personal Injuries .,29
071_018_002_04_03,expose himself to circumstances injurious to health :  or by,60
071_018_002_04_04,obstructing relief :  as by removing bread out of the way of a hungry,69
071_018_002_04_05,man :  a medicine out of the way of a sick man :  or a catheter out of,70
071_018_002_04_06,the way of a man labouring under a suppression of urine .  +,60
071_018_002_04_07,[  ( D )  Uneasiness ]  It matters not how slight the contact is by,67
071_018_002_04_09,which the uneasiness is produced :  the touch however slight,60
071_018_002_04_10,may be sufficient to produce uneasiness in a man if it be,57
071_018_002_05_02,( a )  1 . For the cases in which a man may happen to be con=,61
071_018_002_05_03,: cerned in occasioning bodily pain or uneasiness in another by,63
071_018_002_05_04,"permanent practices , such as the carrying on of dangerous , offen=",67
071_018_002_05_05,": sive or unwholesome occupations , See refer to",48
071_018_002_05_06,1 . Laws relative to Householders in general .,46
071_018_002_05_07,2 . Laws relative to the several sorts of manufacturers or,58
071_018_002_05_08,shopkeepers whose trades are apt to occasion danger or annoy=,61
071_018_002_05_09,": ance ; such as Gunpowder Manufactories , Turpentine Distillers ,",66
071_018_002_05_10,"Manufacturers of Oil of Vitriol , Tanners , Tallow Chandlers ,",62
071_018_002_05_11,"Brasiers , Pewterers &c . &c . In all these cases the damage",60
071_018_002_05_12,"if any , is commonly either absolutely unintentional , or at",60
071_018_002_05_13,most not directly but only indirectly intentional . See In=,59
071_018_002_05_14,: trod :  Ch :  Of Intention & Consciousness .,46
071_018_002_05_15,For the cases in which a man may happen to be concerned,55
071_018_002_05_16,in producing bodily pain or uneasiness by selling unwholesome,61
071_018_002_05_17,"and medicines , refer to",24
071_018_002_05_18,provisions See Laws concerning the several trades relative to the,65
071_018_002_05_19,several sorts of provisions .,29
071_018_003_03_01,Of Simple Personal Injuries .,29
071_018_003_04_01,"[ E Farther ]  If any further personal Injury be occasioned , it",64
071_018_003_04_02,"institutes a different offence :  to wit , an irreparable personal",66
071_018_003_04_03,"injury to the liberty of loco-motion ,",38
071_018_003_04_04,"injury , an act of unlawful  <gap/>  an act of kid=",51
071_018_003_04_05,": napping an act of unlawful homicide , as the case may",55
071_018_003_04_06,happen :  if it be intended only and not occasioned it consti=,62
071_018_003_04_07,: tutes an attempt referable to one or other of these offences .,64
071_018_003_04_08,If any farther mischief that is not personal be occasioned,58
071_018_003_04_09,or intended it constitutes in like manner a separate of=,56
071_018_003_04_11,[ F Danger ]  To wit of being subjected to bodily pain or un=,61
071_018_003_04_13,[ G Bound ]  1 . Everyman is bound on such an occasion,54
071_018_003_04_14,"to give assistance to any other , if he can give it without any",63
071_018_003_04_15,trouble or inconvenience to himself that is worth,49
071_018_003_04_17,2 . The obligation you are under to assist a fellow creature,60
071_018_003_04_18,is the stronger the greater the danger appears to be which,58
071_018_003_04_19,threatens him and the less trouble it would cost to save,56
071_018_003_04_21,3 . A man is always punishable for withholding his,50
